Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,PF-C,24,TOT,70,1577,14.9,.547,.208,.245,14.1,21.6,17.8,8.5,1.5,3.9,13.6,16.1,,1.2,2.1,3.3,.101,,-1.7,0.3,-1.3,0.3
2,Bam Adebayo,C,26,MIA,66,2257,20.2,.575,.032,.392,7.8,29.7,18.5,19.2,1.7,2.7,11.9,25.3,,2.5,4.1,6.6,.141,,1.0,1.7,2.6,2.7
3,Ochai Agbaji,SG,23,TOT,73,1492,7.9,.503,.503,.111,5.3,10.3,7.8,6.7,1.4,2.3,12.4,13.5,,-0.5,0.6,0.1,.003,,-3.3,-0.9,-4.3,-0.9
4,Santi Aldama,PF,23,MEM,61,1618,13.2,.539,.535,.153,4.9,20.9,12.6,13.3,1.3,3.1,10.2,18.1,,0.3,1.9,2.2,.066,,-0.7,0.5,-0.3,0.7
5,Nickeil Alexander-Walker,SG,25,MIN,77,1805,10.7,.578,.627,.118,2.3,7.9,5.3,14.3,1.6,1.9,12.1,14.5,,1.2,2.7,4.0,.105,,-1.3,1.5,0.2,1.0
6,Grayson Allen,SG,28,PHO,70,2351,13.9,.687,.652,.221,2.4,10.5,6.7,12.4,1.3,1.6,11.4,14.4,,4.5,2.1,6.5,.133,,1.2,0.1,1.3,1.9
7,Jarrett Allen,C,25,CLE,73,2313,21.7,.661,.006,.387,12.2,27.3,19.9,13.2,1.1,3.0,11.2,19.6,,6.2,3.7,9.9,.205,,2.0,1.0,3.0,2.9
8,Timmy Allen,SF,24,MEM,1,26,-6.5,.167,.500,.000,0.0,9.3,4.5,0.0,0.0,0.0,14.3,11.7,,-0.1,0.0,-0.1,-0.199,,-13.2,-3.6,-16.8,-0.1
9,Jose Alvarado,PG,25,NOP,51,908,12.6,.532,.576,.162,2.8,11.5,7.2,15.8,3.0,1.6,10.3,17.7,,0.3,1.4,1.8,.093,,-1.6,1.7,0.1,0.5
10,Kyle Anderson,PF,30,MIN,74,1688,13.1,.526,.108,.322,4.4,13.9,9.4,25.6,1.9,2.2,15.8,14.5,,1.5,3.0,4.5,.128,,-1.2,2.8,1.5,1.5
11,Giannis Antetokounmpo,PF,29,MIL,71,2500,29.9,.650,.092,.575,9.0,28.5,19.0,32.3,1.7,2.5,12.6,33.2,,9.0,3.6,12.6,.242,,6.7,2.4,9.1,7.0
12,Thanasis Antetokounmpo,PF,31,MIL,29,136,4.2,.484,.038,.077,5.2,5.0,5.1,12.8,1.8,2.5,30.9,12.4,,-0.2,0.1,-0.1,-0.031,,-7.6,-0.1,-7.7,-0.2
13,Cole Anthony,PG,23,ORL,76,1727,14.7,.544,.368,.293,4.3,16.7,10.4,19.9,1.8,1.9,12.6,23.6,,0.7,2.7,3.5,.096,,-0.6,0.7,0.1,0.9
14,OG Anunoby,SF,26,TOT,45,1527,13.1,.602,.473,.167,3.2,11.6,7.4,9.3,1.9,1.9,11.4,17.7,,1.1,1.3,2.4,.075,,-0.8,0.6,-0.2,0.7
15,Ryan Arcidiacono,PG,29,NYK,20,45,-1.8,.000,1.000,.000,0.0,21.3,10.6,10.4,2.3,0.0,25.0,7.7,,-0.1,0.1,-0.1,-0.089,,-11.6,2.0,-9.6,-0.1
16,Deni Avdija,SF,23,WAS,71,2112,15.0,.598,.288,.330,4.4,23.3,13.6,17.7,1.3,1.2,14.9,20.1,,1.4,1.5,2.9,.067,,-0.6,-0.1,-0.7,0.7
17,Deandre Ayton,C,25,POR,51,1656,18.8,.594,.007,.116,10.9,30.2,20.0,8.8,1.5,2.2,11.7,20.6,,1.6,2.1,3.7,.108,,0.5,-0.3,0.2,0.9
18,Udoka Azubuike,C,24,PHO,16,113,12.2,.609,.000,.565,12.0,20.4,16.4,3.6,0.4,4.7,12.2,12.6,,0.1,0.1,0.2,.098,,-3.0,-0.2,-3.2,0.0
19,Ibou Badji,C,21,POR,21,216,8.4,.633,.000,.600,10.2,17.8,13.7,8.0,0.5,8.4,35.6,7.8,,0.0,0.2,0.2,.054,,-7.4,1.9,-5.5,-0.2
20,Marvin Bagley III,C,24,TOT,50,1053,19.4,.629,.056,.309,13.8,20.1,16.9,8.1,0.9,2.6,11.3,21.1,,1.9,0.7,2.6,.118,,1.0,-1.4,-0.4,0.4
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,Amari Bailey,PG,19,CHO,8,31,1.1,.272,.417,.167,7.2,0.0,3.7,8.8,1.6,0.0,7.2,19.8,,-0.1,0.0,-0.1,-0.191,,-8.5,-3.9,-12.4,-0.1
22,Patrick Baldwin Jr.,SF,21,WAS,34,348,6.7,.424,.613,.189,4.5,24.2,14.1,7.3,1.5,2.6,11.7,16.6,,-0.6,0.3,-0.3,-0.040,,-6.1,-0.7,-6.7,-0.4
23,LaMelo Ball,PG,22,CHO,22,711,20.8,.561,.466,.246,4.5,14.0,9.1,43.2,2.8,0.5,15.0,34.4,,0.4,0.6,1.0,.070,,3.8,-0.5,3.3,0.9
24,Mo Bamba,C,25,PHI,53,703,15.6,.583,.319,.255,11.9,25.0,18.4,7.8,1.6,7.1,15.7,15.3,,0.6,1.2,1.8,.122,,-2.2,1.2,-0.9,0.2
25,Paolo Banchero,PF,21,ORL,75,2618,17.4,.549,.249,.395,3.5,20.0,11.7,25.1,1.3,1.6,13.2,29.7,,0.8,4.0,4.8,.088,,1.4,0.1,1.4,2.3
26,Desmond Bane,SG,25,MEM,42,1443,18.4,.589,.464,.207,2.8,12.5,7.4,29.3,1.5,1.4,11.7,28.8,,1.6,1.3,2.9,.096,,3.0,-0.3,2.8,1.7
27,Dalano Banton,PG,24,TOT,50,902,13.7,.515,.379,.242,4.9,15.9,10.1,18.4,1.5,1.7,12.1,24.8,,-0.2,0.9,0.7,.036,,-0.5,-0.7,-1.2,0.2
28,Dominick Barlow,PF,20,SAS,33,420,14.6,.548,.080,.372,11.9,18.6,15.2,11.7,1.4,2.8,6.4,14.2,,0.6,0.4,1.0,.120,,-1.7,-0.1,-1.8,0.0
29,Harrison Barnes,PF,31,SAC,77,2238,11.7,.614,.531,.250,3.1,8.9,5.9,5.3,1.1,0.4,6.8,15.7,,2.7,1.4,4.1,.087,,-0.7,-1.4,-2.0,0.0
30,Scottie Barnes,SG,22,TOR,60,2094,19.4,.566,.314,.266,7.7,20.0,13.7,26.2,1.8,3.7,13.6,25.0,,2.1,2.0,4.1,.094,,2.8,0.9,3.7,3.0
31,RJ Barrett,SG,23,TOT,55,1736,16.2,.578,.291,.330,3.2,16.7,9.9,16.3,0.9,1.1,10.6,26.3,,1.5,1.2,2.7,.074,,0.7,-1.4,-0.8,0.5
32,Charles Bassey,C,23,SAS,19,205,17.7,.739,.025,.150,12.5,29.6,20.9,14.1,1.9,6.9,26.0,11.9,,0.3,0.4,0.6,.150,,-1.8,3.1,1.3,0.2
33,Emoni Bates,SF,20,CLE,13,102,6.1,.439,.757,.108,1.2,11.5,6.4,9.2,0.5,1.8,4.9,17.8,,-0.1,0.1,0.0,-0.011,,-3.2,-1.9,-5.0,-0.1
34,Keita Bates-Diop,SF,28,TOT,53,665,11.5,.534,.416,.253,5.7,13.1,9.6,7.4,1.9,2.9,7.5,13.0,,0.5,0.8,1.2,.090,,-1.4,0.4,-1.0,0.2
35,Nicolas Batum,PF,35,TOT,56,1404,10.6,.620,.720,.089,5.4,13.5,9.4,10.8,1.5,2.4,13.7,8.8,,1.6,1.4,3.0,.103,,-1.0,0.7,-0.3,0.6
36,Darius Bazley,PF,23,TOT,4,43,8.6,.536,.333,.556,2.7,16.0,9.3,5.4,3.4,2.1,26.3,14.9,,-0.1,0.0,0.0,-0.034,,-4.8,0.1,-4.7,0.0
37,Bradley Beal,SG,30,PHO,48,1583,15.1,.588,.321,.186,3.5,10.9,7.4,22.8,1.5,1.0,14.4,22.6,,1.4,1.4,2.9,.087,,-0.1,-0.8,-0.9,0.4
38,Malik Beasley,SG,27,MIL,74,2214,10.5,.605,.751,.051,2.2,12.1,7.3,6.0,1.3,0.3,6.9,14.7,,1.8,1.5,3.4,.073,,-0.9,-0.8,-1.7,0.2
39,MarJon Beauchamp,SF,23,MIL,46,593,9.0,.582,.459,.178,4.4,14.2,9.4,6.5,1.0,0.9,13.8,14.3,,0.1,0.4,0.6,.046,,-2.7,-1.0,-3.7,-0.2
40,Jules Bernard,SG,24,WAS,16,113,12.0,.514,.500,.160,6.9,9.2,8.0,16.3,0.8,0.7,7.0,21.6,,0.0,0.0,0.0,.019,,-0.5,-2.3,-2.9,0.0
41,Dāvis Bertāns,PF,31,TOT,39,586,12.0,.584,.855,.160,1.7,9.0,5.3,8.0,1.9,1.4,5.7,17.1,,0.5,0.4,0.9,.074,,-0.6,-0.4,-1.0,0.1
42,Patrick Beverley,PG,35,TOT,69,1356,11.1,.526,.480,.244,3.7,14.5,9.1,18.8,1.5,2.0,13.7,14.5,,0.8,1.3,2.1,.076,,-1.9,0.3,-1.6,0.1
43,Saddiq Bey,SF,24,ATL,63,2062,13.1,.549,.514,.291,9.0,14.1,11.4,5.9,1.2,0.5,6.4,17.1,,2.7,0.7,3.4,.079,,0.2,-2.0,-1.8,0.1
44,Goga Bitadze,C,24,ORL,57,933,17.9,.636,.064,.404,13.7,22.1,17.9,11.8,1.6,7.1,14.9,13.2,,1.7,1.9,3.7,.189,,-0.5,2.8,2.3,1.0
45,Onuralp Bitim,SG,24,CHI,20,230,7.1,.502,.529,.059,3.0,12.4,7.6,7.7,0.7,0.9,9.1,14.7,,-0.1,0.1,0.1,.013,,-4.0,-1.3,-5.3,-0.2
46,Bismack Biyombo,C,31,TOT,38,761,9.5,.555,.000,.403,8.8,21.7,15.0,9.9,0.7,4.3,22.3,10.7,,0.0,0.9,0.9,.056,,-5.0,1.4,-3.6,-0.3
47,Anthony Black,PG,20,ORL,65,1134,8.4,.552,.376,.331,3.5,11.2,7.3,10.7,1.5,1.7,16.1,12.8,,0.1,1.6,1.6,.068,,-3.8,0.9,-2.9,-0.3
48,Leaky Black,SF,24,CHO,23,233,10.4,.573,.366,.341,3.8,15.8,9.6,10.9,1.1,3.2,9.6,9.9,,0.2,0.2,0.4,.074,,-3.0,0.0,-3.1,-0.1
49,Buddy Boeheim,SF,24,DET,7,66,9.4,.515,.840,.200,1.7,12.4,7.0,6.2,0.0,1.3,0.0,17.6,,0.1,0.0,0.1,.048,,-0.3,-2.3,-2.6,0.0
50,Bogdan Bogdanović,SG,31,ATL,75,2279,14.8,.569,.581,.145,2.5,11.1,6.6,14.8,2.0,1.0,8.5,22.4,,2.7,1.1,3.8,.080,,1.0,-0.6,0.3,1.4
51,Bojan Bogdanović,PF-SF,34,TOT,52,1391,12.4,.581,.494,.224,1.8,10.5,6.1,10.4,1.0,0.3,12.3,24.7,,0.1,0.7,0.8,.028,,-0.9,-2.5,-3.4,-0.5
52,Bol Bol,PF,24,PHO,39,445,19.2,.706,.340,.132,8.6,24.6,17.1,5.6,1.0,5.0,10.0,16.5,,1.0,0.7,1.6,.175,,1.7,0.9,2.6,0.5
53,Marques Bolden,C,25,TOT,7,55,13.4,.759,.000,.222,8.1,32.2,19.9,0.0,0.9,1.7,9.2,8.8,,0.1,0.1,0.1,.126,,-2.5,-0.8,-3.4,0.0
54,Devin Booker,PG,27,PHO,63,2252,22.2,.611,.313,.340,2.8,11.8,7.5,32.1,1.2,1.1,10.5,30.4,,6.4,2.0,8.4,.179,,4.3,-1.0,3.3,3.0
55,Brandon Boston Jr.,SF,22,LAC,28,249,9.2,.496,.321,.229,5.6,10.7,8.2,4.0,0.8,2.5,8.4,23.3,,-0.2,0.2,0.0,-0.009,,-5.6,-3.1,-8.7,-0.4
56,Chris Boucher,PF,31,TOR,50,705,16.0,.625,.433,.424,10.0,24.4,17.1,4.5,1.0,3.0,9.8,17.4,,1.1,0.6,1.7,.116,,-0.3,-1.4,-1.7,0.0
57,James Bouknight,SG,23,CHO,14,81,15.9,.597,.732,.049,1.4,11.7,6.4,12.2,0.6,1.2,4.6,24.0,,0.1,0.0,0.1,.063,,4.3,-2.2,2.1,0.1
58,Jamaree Bouyea,PG,24,POR,6,57,-4.6,.238,.381,.000,3.8,17.4,10.2,19.3,0.0,0.0,27.6,21.8,,-0.4,0.0,-0.4,-0.298,,-13.0,-4.9,-17.9,-0.2
59,Malaki Branham,PG,20,SAS,72,1503,8.8,.526,.419,.103,2.0,8.5,5.2,14.5,0.8,0.4,12.3,19.9,,-0.9,0.5,-0.4,-0.014,,-3.5,-2.3,-5.8,-1.5
60,Christian Braun,SG,22,DEN,78,1552,11.6,.547,.332,.278,5.7,16.2,11.1,9.7,1.2,1.8,9.4,15.8,,1.1,1.7,2.8,.087,,-2.1,-0.2,-2.3,-0.1
61,Mikal Bridges,SF,27,BRK,78,2758,15.1,.562,.452,.249,2.6,12.7,7.5,16.3,1.5,0.9,10.4,24.7,,1.8,2.2,3.9,.068,,0.8,-1.0,-0.2,1.2
62,Miles Bridges,SF,25,CHO,65,2461,15.5,.556,.373,.177,3.1,20.1,11.3,14.6,1.3,1.2,9.5,24.9,,0.4,1.7,2.1,.041,,0.3,-1.2,-1.0,0.6
63,Oshae Brissett,SF,25,BOS,51,584,12.6,.552,.397,.573,10.7,16.4,13.6,8.5,1.4,0.8,8.9,13.4,,0.9,0.8,1.7,.143,,-1.7,0.3,-1.4,0.1
64,Izaiah Brockington,PG,24,NOP,1,3,26.8,.400,.200,.000,38.3,37.4,37.9,0.0,0.0,0.0,0.0,72.7,,0.0,0.0,0.0,-0.184,,-9.2,-8.6,-17.8,0.0
65,Malcolm Brogdon,PG,31,POR,39,1121,17.0,.560,.401,.234,2.7,13.2,7.7,30.8,1.2,0.6,9.9,23.2,,1.8,0.7,2.5,.108,,2.7,-0.7,2.0,1.1
66,Armoni Brooks,PG,25,BRK,10,104,8.3,.448,.696,.043,7.4,12.5,9.9,6.8,0.5,0.9,6.0,20.9,,-0.1,0.1,0.0,-0.019,,-2.1,-3.7,-5.8,-0.1
67,Dillon Brooks,SF,28,HOU,68,2094,9.3,.547,.486,.192,2.5,9.7,6.1,7.6,1.4,0.4,9.7,17.6,,0.3,2.0,2.4,.054,,-3.4,-0.2,-3.5,-0.8
68,Bruce Brown,SG-PG,27,TOT,63,1776,11.5,.558,.286,.241,3.4,14.8,9.1,13.1,1.6,0.8,11.7,16.5,,1.0,1.1,2.0,.054,,-2.5,-0.9,-3.4,-0.6
69,Charlie Brown Jr.,SG,26,NYK,8,37,-3.1,.300,.700,.000,3.2,3.2,3.2,0.0,0.0,5.1,16.7,14.1,,-0.1,0.0,-0.1,-0.125,,-10.2,-3.4,-13.6,-0.1
70,Greg Brown III,PF,22,DAL,6,40,10.4,.501,.273,.818,8.6,17.0,12.8,12.9,0.0,8.8,21.1,20.4,,-0.1,0.0,0.0,-0.006,,-5.0,0.6,-4.4,0.0
71,Jaylen Brown,SF,27,BOS,67,2249,18.8,.583,.327,.244,4.1,13.8,9.1,17.0,1.7,1.3,10.5,28.9,,2.5,3.3,5.8,.125,,1.1,-0.1,1.0,1.7
72,Kendall Brown,SG,20,IND,13,50,8.7,.585,.091,.727,7.0,2.4,4.7,9.4,0.0,0.0,6.4,13.1,,0.1,0.0,0.1,.076,,-3.3,-2.1,-5.4,0.0
73,Kobe Brown,PF,24,LAC,40,308,6.5,.508,.582,.030,4.9,14.3,9.8,7.0,1.0,0.9,9.3,10.8,,0.1,0.2,0.3,.045,,-4.2,-0.1,-4.3,-0.2
74,Moses Brown,C,24,POR,20,170,13.3,.453,.000,.472,19.3,29.1,23.9,6.2,0.9,3.7,11.1,18.1,,-0.1,0.2,0.1,.033,,-4.7,-2.5,-7.2,-0.2
75,Troy Brown Jr.,SF,24,TOT,55,732,9.5,.538,.649,.171,3.8,16.7,10.4,10.0,1.2,0.2,11.3,14.8,,0.2,0.8,1.0,.063,,-2.0,0.0,-1.9,0.0
76,Jalen Brunson,PG,27,NYK,72,2537,22.7,.588,.321,.297,1.9,10.3,6.1,33.3,1.4,0.5,9.4,32.3,,7.6,2.2,9.8,.186,,5.8,-0.3,5.5,4.8
77,Thomas Bryant,C,26,MIA,37,418,18.3,.627,.151,.324,10.4,27.2,18.7,8.2,1.2,3.5,10.7,19.1,,0.7,0.7,1.4,.166,,-0.9,0.3,-0.7,0.1
78,Kobe Bufkin,SG,20,ATL,13,145,11.3,.448,.508,.063,2.3,16.4,9.1,21.8,2.0,2.5,8.5,20.5,,-0.1,0.1,0.0,.015,,-2.4,0.8,-1.6,0.0
79,Reggie Bullock,SF,32,HOU,39,367,7.4,.556,.816,.013,1.8,18.3,10.0,4.6,1.3,0.8,10.5,9.9,,0.0,0.5,0.5,.064,,-3.1,0.3,-2.7,-0.1
80,Alec Burks,SG,32,TOT,65,1200,12.8,.536,.581,.292,2.3,12.3,7.3,10.3,1.1,0.9,6.9,24.5,,0.6,0.7,1.3,.052,,-0.3,-2.1,-2.4,-0.1
81,Jared Butler,SG,23,WAS,36,467,13.6,.573,.421,.183,1.9,9.4,5.6,30.8,2.5,1.0,19.9,20.1,,0.1,0.3,0.4,.040,,-1.7,-0.4,-2.1,0.0
82,Jimmy Butler,PF,34,MIA,55,1870,21.9,.622,.181,.576,6.1,12.5,9.3,22.6,2.0,0.9,9.1,24.4,,5.6,2.4,8.0,.205,,3.9,0.6,4.5,3.1
83,Jamal Cain,PF,24,MIA,23,255,11.7,.544,.392,.291,6.9,10.0,8.4,5.7,2.0,1.9,8.2,17.1,,0.1,0.3,0.5,.085,,-2.4,0.2,-2.2,0.0
84,Kentavious Caldwell-Pope,SG,30,DEN,72,2293,10.8,.602,.526,.200,1.6,7.4,4.5,9.5,2.1,1.5,10.6,13.1,,2.1,2.3,4.4,.092,,-2.1,0.8,-1.3,0.4
85,Toumani Camara,PF,23,POR,70,1739,10.6,.547,.393,.226,8.8,14.5,11.5,7.1,1.9,1.7,14.9,13.9,,0.4,1.6,2.0,.056,,-3.1,-0.1,-3.1,-0.5
86,Clint Capela,C,29,ATL,70,1800,20.8,.589,.002,.341,20.1,27.8,23.8,6.8,1.1,5.2,9.6,17.5,,4.1,1.9,5.9,.158,,1.1,-1.0,0.0,0.9
87,Jevon Carter,PG,28,CHI,68,924,8.3,.492,.634,.021,1.1,5.9,3.5,11.9,1.8,1.6,9.2,17.6,,-0.5,0.6,0.1,.006,,-3.4,-0.6,-4.0,-0.5
88,Wendell Carter Jr.,C,24,ORL,50,1310,16.1,.628,.398,.337,9.3,24.0,16.6,10.1,1.2,1.9,12.6,17.2,,2.0,2.1,4.1,.151,,0.6,0.4,1.1,1.0
89,D.J. Carton,SG,23,TOR,4,36,9.6,.539,.500,.625,6.3,6.6,6.5,10.5,1.4,0.0,8.9,13.4,,0.0,0.0,0.0,.060,,-4.3,-1.2,-5.4,0.0
90,Alex Caruso,SG,29,CHI,68,1929,14.3,.609,.615,.177,3.5,12.3,7.8,15.8,2.9,3.6,14.6,15.0,,1.9,2.5,4.4,.110,,0.0,2.3,2.3,2.1
91,Colin Castleton,C,23,LAL,13,53,10.5,.654,.000,.333,11.7,12.6,12.2,7.4,0.9,0.0,17.9,13.8,,0.1,0.0,0.1,.098,,-4.9,-1.6,-6.5,-0.1
92,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.011,,-6.0,-3.2,-9.1,0.0
93,Julian Champagnie,SF,22,SAS,69,1312,10.5,.561,.696,.209,3.3,12.7,7.9,9.1,1.6,2.6,11.1,14.2,,0.3,1.1,1.4,.052,,-1.9,-0.2,-2.1,0.0
94,Justin Champagnie,SF,22,WAS,12,183,14.8,.574,.633,.233,9.7,15.8,12.7,11.7,1.8,2.7,12.0,17.4,,0.2,0.1,0.3,.080,,0.2,-0.8,-0.6,0.1
95,Max Christie,SG,20,LAL,64,935,8.4,.542,.490,.184,2.0,14.9,8.8,8.0,1.0,1.6,11.9,13.7,,-0.2,0.8,0.6,.032,,-3.3,-0.4,-3.7,-0.4
96,Sidy Cissoko,SF,19,SAS,8,43,1.8,.342,.714,.571,0.0,18.7,9.2,0.0,3.3,0.0,18.6,10.6,,-0.1,0.1,-0.1,-0.060,,-11.2,-0.6,-11.8,-0.1
97,Brandon Clarke,PF,27,MEM,5,107,19.9,.539,.106,.149,13.5,20.3,16.8,15.3,1.9,4.4,5.7,21.5,,0.1,0.2,0.3,.113,,1.2,0.1,1.3,0.1
98,Jordan Clarkson,SG,31,UTA,55,1682,12.6,.521,.379,.246,3.4,9.4,6.4,24.6,1.0,0.3,13.9,26.2,,0.0,0.1,0.1,.002,,-1.4,-3.2,-4.6,-1.1
99,Nic Claxton,C,24,BRK,68,2027,18.8,.631,.009,.335,10.0,28.6,19.0,10.2,1.1,6.2,11.8,15.7,,3.3,3.2,6.5,.153,,-0.1,1.5,1.4,1.7
100,Noah Clowney,PF,19,BRK,19,228,15.8,.649,.383,.383,9.2,18.7,13.8,7.5,1.1,3.2,11.4,15.1,,0.4,0.2,0.6,.135,,0.2,-0.2,0.0,0.1
101,Amir Coffey,SF,26,LAC,65,1294,10.2,.634,.517,.210,2.4,9.3,6.0,6.9,1.4,0.8,9.2,11.9,,1.6,0.8,2.4,.087,,-1.7,-0.3,-2.0,0.0
102,John Collins,PF,26,UTA,68,1901,17.4,.621,.311,.248,9.5,25.0,17.3,6.1,1.0,2.9,10.6,20.4,,2.9,1.4,4.3,.108,,0.4,-1.4,-1.0,0.5
103,Zach Collins,C,26,SAS,64,1429,13.9,.562,.300,.261,8.4,18.4,13.3,18.8,1.1,2.7,16.1,22.3,,0.1,1.2,1.4,.046,,-2.2,-0.2,-2.4,-0.2
104,Mike Conley,PG,36,MIN,71,2051,15.7,.622,.624,.178,2.0,9.2,5.8,28.8,2.0,0.6,12.1,15.8,,4.6,3.1,7.8,.182,,1.9,1.5,3.4,2.8
105,Pat Connaughton,SF,31,MIL,71,1571,9.9,.584,.698,.164,3.7,13.1,8.5,12.0,1.2,1.0,11.7,10.8,,1.5,1.2,2.7,.083,,-1.3,0.1,-1.3,0.3
106,Bilal Coulibaly,SF,19,WAS,63,1715,8.9,.543,.428,.303,3.6,13.5,8.4,8.2,1.6,2.3,15.1,14.2,,-0.6,1.0,0.4,.011,,-3.7,-0.5,-4.2,-1.0
107,Ricky Council IV,SG,22,PHI,28,248,18.4,.596,.287,.673,5.9,13.2,9.5,7.3,0.6,0.4,3.0,23.6,,0.7,0.2,0.8,.158,,2.5,-1.9,0.6,0.2
108,Robert Covington,SF-PF,33,TOT,29,488,13.6,.580,.571,.265,7.3,15.8,11.5,6.3,4.0,3.4,9.1,10.7,,0.6,0.9,1.4,.141,,-1.1,3.2,2.1,0.5
109,Torrey Craig,SF,33,CHI,48,954,10.9,.569,.620,.141,7.7,16.0,11.7,7.3,1.4,2.0,10.4,12.8,,0.8,0.9,1.7,.086,,-1.8,-0.3,-2.0,0.0
110,Jae Crowder,PF,33,MIL,46,1063,9.2,.557,.614,.126,2.9,13.0,8.1,7.2,1.7,0.6,6.8,11.3,,0.7,0.9,1.6,.071,,-2.6,0.2,-2.3,-0.1
111,Jalen Crutcher,PG,24,NOP,1,3,-12.3,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,,0.0,0.0,0.0,-0.328,,-18.4,-7.9,-26.3,0.0
112,Cade Cunningham,PG,22,DET,62,2074,17.0,.546,.287,.235,1.8,13.3,7.5,37.4,1.3,0.9,14.1,30.9,,0.5,1.1,1.6,.037,,2.0,-1.7,0.3,1.2
